Reference Number,Grid Ref: Easting,Grid Ref: Northing,Number of Vehicles,Accident Date,Time (24hr),1st Road Class,1st Road Class & No,Road Surface,Lighting Conditions,Weather Conditions,Local Authority,Vehicle Number,Type of Vehicle,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty
62L1504,437794,432381,3,21/02/2019,1755,1,M1,1,5,1,E08000035,2,9,1,3,1,49
62L1504,437794,432381,3,21/02/2019,1755,1,M1,1,5,1,E08000035,3,9,1,3,2,26
62M0256,432734,427498,2,22/02/2019,0601,6,U,1,4,1,E08000035,2,3,2,1,1,23
62M0611,422702,428717,1,22/02/2019,1630,6,U,1,1,1,E08000035,1,9,3,3,1,17
62M1817,434758,429113,1,22/02/2019,1730,3,A639,1,1,1,E08000035,1,5,3,3,1,15
62N0130,430245,433222,1,23/02/2019,0121,6,U,1,4,1,E08000035,1,9,3,3,1,25
62N1077,430433,437754,2,23/02/2019,0030,6,U,1,4,1,E08000035,2,1,1,3,1,26
62N1086,423016,437653,2,23/02/2019,1440,3,A6120,1,1,1,E08000035,1,9,1,3,1,89
62N1690,430294,428129,1,23/02/2019,1925,6,U,1,1,1,E08000035,1,9,3,3,2,15
62N1720,430868,434204,1,23/02/2019,1940,6,U,1,4,1,E08000035,1,9,3,2,1,22
62N1760,427505,425503,1,23/02/2019,2000,3,A653,1,4,1,E08000035,1,9,3,1,1,40
62N2203,430954,435789,2,23/02/2019,2310,6,U,1,7,1,E08000035,2,8,2,3,1,48
62O0612,436511,434029,3,24/02/2019,1010,3,A6120,1,1,1,E08000035,2,9,1,3,2,29
62O0763,430801,435342,2,24/02/2019,1209,6,U,1,1,1,E08000035,2,1,1,2,1,22
62P0795,426736,433318,2,25/02/2019,1312,6,U,1,1,1,E08000035,1,9,1,3,1,57
62P0795,426736,433318,2,25/02/2019,1312,6,U,1,1,1,E08000035,1,9,2,3,2,25
62P1094,431970,437047,2,25/02/2019,1532,6,U,1,1,1,E08000035,2,9,1,3,1,71
62P1144,428098,436745,1,25/02/2019,1545,6,U,1,1,1,E08000035,1,8,3,3,2,29
62Q1186,415909,442020,3,26/02/2019,1605,6,U,1,1,1,E08000035,1,9,2,2,2,71
62Q1332,428719,435615,2,26/02/2019,1704,3,A660,1,1,1,E08000035,1,9,1,3,2,19
62Q1332,428719,435615,2,26/02/2019,1704,3,A660,1,1,1,E08000035,2,1,1,3,1,19
62R0301,430878,434256,2,27/02/2019,0838,3,A61,1,1,1,E08000035,2,1,1,2,1,44
62R0601,442527,442541,2,27/02/2019,1140,6,U,1,1,1,E08000035,2,3,1,2,1,25
62R1010,427016,440295,2,27/02/2019,1500,3,A660,1,1,1,E08000035,1,9,1,3,1,24
62R1010,427016,440295,2,27/02/2019,1500,3,A660,1,1,1,E08000035,2,9,1,1,2,80
62R1078,425716,428493,2,27/02/2019,1529,6,U,1,1,1,E08000035,2,1,1,3,1,16
62R1763,430188,431000,1,27/02/2019,2004,6,U,1,4,1,E08000035,1,9,3,2,1,10
62S0045,437585,432318,1,28/02/2019,0031,6,U,1,6,1,E08000035,1,9,1,3,2,24
62S0045,437585,432318,1,28/02/2019,0031,6,U,1,6,1,E08000035,1,9,2,2,2,25
62S0366,430421,431782,2,28/02/2019,0854,1,M621,1,1,1,E08000035,1,9,1,3,1,36
62S0366,430421,431782,2,28/02/2019,0854,1,M621,1,1,1,E08000035,2,9,1,3,2,56
62S0639,433637,429795,1,28/02/2019,1130,1,M1,1,1,1,E08000035,1,9,3,1,1,36
62S1154,427506,426314,2,28/02/2019,1535,1,M62,1,1,1,E08000035,1,9,1,3,1,20
62S1506,433819,434044,2,28/02/2019,1620,3,A64,1,1,1,E08000035,1,1,1,3,1,32
6310255,430900,430553,2,01/03/2019,0724,1,M621,1,1,1,E08000035,2,5,1,2,1,40
6310438,430519,424291,2,01/03/2019,0955,1,M1,1,1,1,E08000035,1,9,1,3,2,48
6310438,430519,424291,2,01/03/2019,0955,1,M1,1,1,1,E08000035,1,9,2,3,2,26
6310909,427519,434866,1,01/03/2019,1350,6,U,1,1,1,E08000035,1,11,3,3,1,23
6311155,428986,431151,3,01/03/2019,1536,6,U,1,1,1,E08000035,3,9,1,3,2,46
6311269,435094,434724,2,01/03/2019,0000,3,A61,1,1,1,E08000035,1,5,1,1,1,29
6311309,430234,435114,2,01/03/2019,1634,6,U,1,1,1,E08000035,2,3,1,3,1,18
6311382,435158,435027,2,01/03/2019,1715,6,U,1,1,1,E08000035,2,1,1,3,2,12
6311547,431619,426413,3,01/03/2019,1825,1,M62,1,4,1,E08000035,2,9,2,3,2,22
6311547,431619,426413,3,01/03/2019,1825,1,M62,1,4,1,E08000035,3,9,1,3,2,60
6320290,428994,435421,1,02/03/2019,0430,3,A660,2,4,1,E08000035,1,8,3,2,1,19
6320717,429886,432365,2,15/02/2019,1040,3,A653,1,1,1,E08000035,2,9,2,3,2,78
6321299,430373,424207,1,02/03/2019,1613,1,M1,1,1,1,E08000035,1,9,1,3,2,67
6321547,434067,435142,2,02/03/2019,1800,6,U,2,4,2,E08000035,1,9,1,3,2,37
6321547,434067,435142,2,02/03/2019,1800,6,U,2,4,2,E08000035,2,9,2,3,1,31
6321596,422029,434307,1,02/03/2019,0030,4,B6155,1,4,1,E08000035,1,8,2,3,2,42
6321807,429917,438280,2,02/03/2019,1930,6,U,2,4,2,E08000035,2,1,1,3,1,23
6322001,427949,433624,2,02/03/2019,2205,3,A647,1,4,1,E08000035,2,9,1,3,1,23
6330775,428654,434879,1,03/03/2019,1214,6,U,2,1,2,E08000035,1,4,1,2,1,21
6340764,435734,436024,2,04/03/2019,1225,6,U,1,1,1,E08000035,2,2,1,3,1,16
6341078,426270,435581,1,04/03/2019,1515,4,B6157,2,1,1,E08000035,1,8,2,3,1,22
6341078,426270,435581,1,04/03/2019,1515,4,B6157,2,1,1,E08000035,1,8,2,3,2,24
6350289,429769,437048,2,05/03/2019,0820,6,U,1,1,1,E08000035,2,1,1,2,1,34
6350338,423827,437742,2,05/03/2019,0900,6,U,1,1,1,E08000035,2,9,1,3,2,35
6350548,441096,433571,2,05/03/2019,1100,6,U,1,1,1,E08000035,1,9,1,2,1,61
6350548,441096,433571,2,05/03/2019,1100,6,U,1,1,1,E08000035,2,9,1,3,1,30
6351168,418304,441344,2,05/03/2019,1600,3,A6038,1,1,1,E08000035,1,9,1,3,1,25
6351263,429482,430242,1,05/03/2019,1650,3,A653,1,1,1,E08000035,1,9,3,2,2,68
6351367,430538,431515,2,05/03/2019,1736,1,M621,1,1,1,E08000035,1,9,1,3,1,41
6351367,430538,431515,2,05/03/2019,1736,1,M621,1,1,1,E08000035,2,9,1,3,1,58
6351848,430491,435237,2,05/03/2019,2120,3,A61,1,4,1,E08000035,1,9,1,3,2,26
6360121,430377,433554,1,06/03/2019,0320,6,U,2,4,2,E08000035,1,9,2,3,2,30
6360200,440976,447851,2,06/03/2019,0645,2,A1(M),1,1,1,E08000035,1,9,1,2,1,49
6360200,440976,447851,2,06/03/2019,0645,2,A1(M),1,1,1,E08000035,1,9,2,3,1,27
6360200,440976,447851,2,06/03/2019,0645,2,A1(M),1,1,1,E08000035,1,9,2,3,1,63
6360200,440976,447851,2,06/03/2019,0645,2,A1(M),1,1,1,E08000035,1,9,2,3,1,27
6360200,440976,447851,2,06/03/2019,0645,2,A1(M),1,1,1,E08000035,1,9,2,3,1,48
6360200,440976,447851,2,06/03/2019,0645,2,A1(M),1,1,1,E08000035,2,9,1,2,1,33
6360200,440976,447851,2,06/03/2019,0645,2,A1(M),1,1,1,E08000035,2,9,2,3,1,32
6360200,440976,447851,2,06/03/2019,0645,2,A1(M),1,1,1,E08000035,2,9,2,3,1,26
6360200,440976,447851,2,06/03/2019,0645,2,A1(M),1,1,1,E08000035,2,9,2,3,1,41
6360994,435035,433250,2,06/03/2019,1510,6,U,1,1,1,E08000035,2,9,1,3,1,82
6361471,421874,435486,1,06/03/2019,1700,6,U,1,1,1,E08000035,1,9,3,3,1,51
6361660,432241,426277,2,06/03/2019,2041,1,M62,2,4,1,E08000035,1,9,1,3,1,20
6361660,432241,426277,2,06/03/2019,2041,1,M62,2,4,1,E08000035,1,9,2,3,1,19
6361702,427485,437002,1,06/03/2019,2114,3,A660,1,4,1,E08000035,1,9,3,3,1,20
6361773,430596,434563,2,06/03/2019,2150,6,U,1,4,1,E08000035,2,1,1,3,1,19
6370208,429273,430096,2,07/03/2019,0700,6,U,2,1,2,E08000035,2,1,1,2,1,31
6370741,426975,431791,2,07/03/2019,0745,3,A58,1,1,1,E08000035,1,1,1,3,1,51
6371156,429773,433632,1,07/03/2019,1610,6,U,1,1,1,E08000035,1,8,3,3,2,26
6380202,429773,427933,2,08/03/2019,0625,6,U,2,1,1,E08000035,2,3,1,3,1,41
6380420,428520,426431,3,08/03/2019,0938,2,A62(M),1,1,1,E08000035,2,9,1,3,2,54
6380635,419569,441597,2,08/03/2019,1145,3,A65,1,1,1,E08000035,2,9,2,3,1,92
6380635,419569,441597,2,08/03/2019,1145,3,A65,1,1,1,E08000035,2,9,1,3,2,62
6381096,429849,438428,2,08/03/2019,1540,6,U,2,1,2,E08000035,2,9,1,3,1,36
6381904,427558,424520,2,08/03/2019,2219,6,U,2,4,2,E08000035,2,9,1,3,1,28
6381904,427558,424520,2,08/03/2019,2219,6,U,2,4,2,E08000035,2,9,2,3,1,37
6390102,424243,432741,1,09/03/2019,0111,4,B6154,2,4,1,E08000035,1,9,2,3,2,17
6390102,424243,432741,1,09/03/2019,0111,4,B6154,2,4,1,E08000035,1,9,2,3,2,17
6390499,428098,434516,2,09/03/2019,0950,6,U,2,1,5,E08000035,2,9,1,3,2,29
6390739,429369,431984,2,09/03/2019,1239,1,M621,1,1,1,E08000035,1,9,1,3,1,29
6390739,429369,431984,2,09/03/2019,1239,1,M621,1,1,1,E08000035,1,9,2,3,2,28
6390739,429369,431984,2,09/03/2019,1239,1,M621,1,1,1,E08000035,1,9,2,3,1,9
6390893,430325,425098,3,09/03/2019,1337,3,A650,1,1,1,E08000035,1,9,1,3,2,27
6390893,430325,425098,3,09/03/2019,1337,3,A650,1,1,1,E08000035,2,9,1,3,2,55
6390893,430325,425098,3,09/03/2019,1337,3,A650,1,1,1,E08000035,3,9,1,3,2,58
6391409,424352,427938,2,09/03/2019,1817,1,M621,1,4,1,E08000035,2,9,1,3,2,29
6391409,424352,427938,2,09/03/2019,1817,1,M621,1,4,1,E08000035,2,9,2,3,2,25
63A0386,426793,432962,1,10/03/2019,0530,6,U,2,4,2,E08000035,1,9,2,2,1,24
63A0386,426793,432962,1,10/03/2019,0530,6,U,2,4,2,E08000035,1,9,2,2,2,18
63A1473,424681,438797,1,10/03/2019,1945,6,U,2,4,2,E08000035,1,9,3,3,1,34
63A1574,436933,436354,2,10/03/2019,2045,6,U,2,4,6,E08000035,1,3,1,3,1,17
63B0454,428588,434755,1,11/03/2019,1053,6,U,1,1,1,E08000035,1,9,3,3,2,75
63B0703,426860,440084,1,21/01/2019,1745,6,U,1,4,1,E08000035,1,9,3,2,2,84
63C0058,433585,435757,2,12/03/2019,1640,6,U,1,1,1,E08000035,2,9,2,3,2,6
63C0228,425056,433371,2,12/03/2019,0720,4,B6154,2,1,2,E08000035,2,9,1,3,1,21
63C0808,431797,431381,2,12/03/2019,1330,3,A639,2,1,2,E08000035,2,2,1,3,2,26
63C0852,430646,434664,2,12/03/2019,1355,3,A58,1,1,1,E08000035,1,9,2,3,2,25
63C1234,428476,425844,2,03/12/2019,1650,3,A643,1,7,1,E08000035,2,9,1,3,2,53
63C1315,425430,440289,3,12/03/2019,1315,6,U,2,1,5,E08000035,1,5,1,2,1,21
63C2019,430740,434684,1,12/03/2019,1702,6,U,2,1,4,E08000035,1,11,3,3,1,28
63D0285,434620,441231,2,13/03/2019,0748,6,U,2,1,4,E08000035,1,9,1,3,2,19
63D0285,434620,441231,2,13/03/2019,0748,6,U,2,1,4,E08000035,2,19,1,3,1,36
63D0915,432063,427598,2,13/03/2019,1425,1,M1,2,1,4,E08000035,2,9,1,3,1,69
63D1237,428301,434132,3,07/03/2019,1700,3,A65,1,1,1,E08000035,3,9,1,3,1,25
63D1460,423163,434663,1,13/03/2019,1845,3,A647,1,4,1,E08000035,1,9,1,3,1,24
63D1526,429862,426401,3,13/03/2019,1919,1,M62,2,4,5,E08000035,2,19,1,3,1,52
63E0295,431144,436258,2,14/03/2019,0715,6,U,1,1,1,E08000035,2,9,1,3,1,51
63E0393,431520,426436,2,14/03/2019,0910,1,M62,1,1,1,E08000035,2,9,1,3,1,34
63E0628,425374,435317,2,14/03/2019,1130,6,U,1,1,4,E08000035,2,1,1,3,1,21
63E1327,432635,428506,3,14/03/2019,1700,3,A61,1,1,4,E08000035,2,9,1,3,1,51
63F0385,428522,435686,2,15/03/2019,0851,6,U,2,1,1,E08000035,2,1,1,3,2,26
63F0680,436149,434890,2,15/03/2019,1138,3,A6120,1,1,1,E08000035,2,9,2,3,1,24
63F0745,429617,433434,1,15/03/2019,1209,6,U,1,1,1,E08000035,1,19,3,3,2,54
63F1298,424993,432939,1,15/03/2019,0745,6,U,1,1,4,E08000035,1,9,3,3,2,12
63F1380,424121,428200,2,15/03/2019,1655,3,A62,2,1,4,E08000035,1,9,2,3,1,8
63G0820,428859,430974,2,16/03/2019,1256,5,C,2,1,5,E08000035,1,9,2,3,1,28
63G1095,429719,433500,1,16/03/2019,1130,6,U,1,1,1,E08000035,1,8,3,3,2,26
63G1112,420081,435349,2,16/03/2019,1540,6,U,2,1,5,E08000035,2,9,1,3,2,37
63H0520,429653,432931,2,16/03/2019,2200,6,U,1,7,1,E08000035,2,8,2,3,1,50
63I0408,431482,435007,2,18/03/2019,0930,6,U,1,1,1,E08000035,1,9,1,3,2,29
63I1316,419473,445032,2,18/03/2019,1646,3,A660,1,1,1,E08000035,2,1,1,3,2,34
63I1725,428403,435451,2,22/03/2019,1736,6,U,1,1,1,E08000035,2,1,1,3,1,36
63J0428,432075,426273,2,19/03/2019,1003,1,M62,1,1,1,E08000035,1,9,1,3,1,62
63K0287,425967,429204,3,20/03/2019,0731,1,M621,1,1,1,E08000035,2,9,1,3,1,24
63K0323,421516,433599,2,20/03/2019,0750,6,U,1,1,1,E08000035,2,1,1,2,1,35
63K0393,428066,434831,1,20/03/2019,0730,6,U,1,1,1,E08000035,1,9,3,3,1,10
63K0500,438295,432225,2,08/03/2019,0750,6,U,1,1,1,E08000035,2,9,1,3,1,36
63K0500,438295,432225,2,08/03/2019,0750,6,U,1,1,1,E08000035,2,9,2,3,2,12
63K0500,438295,432225,2,08/03/2019,0750,6,U,1,1,1,E08000035,2,9,2,3,2,9
63K0500,438295,432225,2,08/03/2019,0750,6,U,1,1,1,E08000035,2,9,2,3,2,7
63K0909,432891,430263,2,20/03/2019,1345,4,B6481,1,1,1,E08000035,2,9,2,3,2,45
63K0993,431050,445636,1,20/03/2019,1421,3,A659,1,1,1,E08000035,1,9,2,2,1,89
63K0993,431050,445636,1,20/03/2019,1421,3,A659,1,1,1,E08000035,1,9,1,3,1,61
63K1286,445228,431837,1,20/03/2019,1625,2,A1(M),1,1,1,E08000035,1,9,1,2,2,20
63K1286,445228,431837,1,20/03/2019,1625,2,A1(M),1,1,1,E08000035,1,9,2,2,1,20
63K1423,426034,428248,2,20/03/2019,1725,6,U,1,1,1,E08000035,1,1,1,3,1,14
63L0556,427966,433620,2,21/03/2019,0750,3,A647,1,1,1,E08000035,2,1,1,3,1,30
63L0825,426822,434974,2,21/03/2019,1308,3,A65,1,1,1,E08000035,1,9,1,3,2,62
63L0825,426822,434974,2,21/03/2019,1308,3,A65,1,1,1,E08000035,1,9,2,3,1,95
63L1437,426302,431692,1,21/03/2019,1720,3,A58,1,1,1,E08000035,1,9,3,2,2,23
63L1754,422303,427958,2,21/03/2019,1941,3,A650,1,4,1,E08000035,1,9,1,2,1,24
63L1754,422303,427958,2,21/03/2019,1941,3,A650,1,4,1,E08000035,1,9,2,2,1,50
63L1754,422303,427958,2,21/03/2019,1941,3,A650,1,4,1,E08000035,2,9,1,3,1,37
63M0692,434260,434309,2,22/03/2019,1232,3,A64,1,1,1,E08000035,2,3,1,1,1,68
63M0725,432338,434973,2,22/03/2019,0840,4,B6159,1,1,1,E08000035,2,9,1,3,2,29
63M1263,430892,433487,2,22/03/2019,1652,6,U,1,1,1,E08000035,2,1,1,3,1,58
63N0123,425303,428867,1,23/03/2019,0111,4,B1626,1,5,1,E08000035,1,3,1,1,1,22
63N0825,432235,426269,2,23/03/2019,1234,1,M1,1,1,1,E08000035,2,11,2,2,2,53
63N1132,430764,438435,2,23/03/2019,1345,6,U,1,1,1,E08000035,2,9,1,3,2,28
63N1132,430764,438435,2,23/03/2019,1345,6,U,1,1,1,E08000035,2,9,2,3,2,31
63N1132,430764,438435,2,23/03/2019,1345,6,U,1,1,1,E08000035,2,9,2,3,2,18
63N1132,430764,438435,2,23/03/2019,1345,6,U,1,1,1,E08000035,2,9,2,3,2,7
63N1132,430764,438435,2,23/03/2019,1345,6,U,1,1,1,E08000035,2,9,2,3,2,2
63O0092,430833,433959,2,24/03/2019,0208,3,A61,1,4,1,E08000035,2,9,2,3,2,70
63O1413,427703,434718,2,24/03/2019,1709,6,U,1,1,1,E08000035,2,19,1,3,1,20
63P0259,429149,431792,2,25/03/2019,0810,6,U,1,1,1,E08000035,2,9,1,3,1,28
63P0593,429873,427362,2,25/03/2019,0855,6,U,1,1,1,E08000035,2,9,2,3,1,8
63P0891,429964,434206,2,25/03/2019,1346,6,U,1,1,1,E08000035,1,1,1,3,1,19
63P1148,424913,433473,1,25/03/2019,1545,6,U,1,1,1,E08000035,1,97,3,3,2,5
63P1153,431251,428894,2,25/03/2019,1546,6,U,1,1,1,E08000035,2,3,1,2,1,18
63P1671,431614,429961,1,25/03/2019,1900,6,U,1,4,1,E08000035,1,5,1,2,1,36
63P1965,435960,435772,2,25/03/2019,2122,6,U,1,4,1,E08000035,2,9,1,3,1,45
63P2126,431818,435608,5,25/03/2019,2327,3,A58,1,4,1,E08000035,2,9,1,3,1,40
63P2126,431818,435608,5,25/03/2019,2327,3,A58,1,4,1,E08000035,4,9,1,3,1,23
63Q1266,427700,431038,1,26/03/2019,1700,1,M621,1,1,1,E08000035,1,21,3,3,2,18
63Q1269,434393,428822,1,26/03/2019,1530,6,U,1,1,1,E08000035,1,9,3,3,2,2
63R0138,429848,432292,2,27/03/2019,0308,6,U,1,4,1,E08000035,1,9,1,3,1,41
63R0138,429848,432292,2,27/03/2019,0308,6,U,1,4,1,E08000035,1,9,2,3,1,38
63R0138,429848,432292,2,27/03/2019,0308,6,U,1,4,1,E08000035,2,19,1,3,1,57
63R0652,424055,439077,3,27/03/2019,1159,6,U,1,1,1,E08000035,1,9,1,3,1,73
63R1342,430798,432390,1,27/03/2019,1750,3,A61,1,1,1,E08000035,1,9,3,2,2,24
63R1576,427583,433915,1,27/03/2019,1946,6,U,1,4,1,E08000035,1,3,3,2,1,18
63R1643,429852,432291,2,27/03/2019,2008,3,A653,1,4,1,E08000035,2,9,1,3,2,22
63S0868,435715,434719,2,28/03/2019,0920,6,U,1,1,1,E08000035,1,9,2,3,2,57
63S1164,431462,432136,2,17/03/2019,1825,6,U,1,1,1,E08000035,2,8,1,3,1,41
63S1177,437157,445577,2,28/03/2019,1616,6,U,1,1,1,E08000035,1,9,1,3,2,36
63S1268,420069,440808,2,28/03/2019,1653,3,A65,1,1,1,E08000035,2,1,1,3,1,57
63S1320,437097,444135,3,28/03/2019,1615,3,A58,1,1,1,E08000035,2,9,1,3,1,57
63T0981,434819,434613,1,29/03/2019,1000,3,A64,1,1,1,E08000035,1,11,2,3,2,67
63T1018,429481,433783,2,29/03/2019,0900,3,A58,1,1,1,E08000035,2,1,1,3,1,69
63T1240,427019,433105,1,29/03/2019,1315,6,U,1,1,1,E08000035,1,9,3,3,2,24
63T1255,426820,437994,2,29/03/2019,1545,3,A660,1,1,1,E08000035,2,9,1,3,2,64
63U0448,433652,441921,2,30/03/2019,0833,6,U,1,1,1,E08000035,2,1,2,2,1,56
63U0509,426206,427501,2,29/03/2019,0930,6,U,1,1,1,E08000035,2,1,1,3,1,28
63U0661,436096,434804,2,30/03/2019,1110,6,U,1,1,1,E08000035,1,9,2,3,1,12
63U0703,420866,434619,3,30/03/2019,1135,3,A6120,1,1,1,E08000035,1,9,1,3,1,31
63U0703,420866,434619,3,30/03/2019,1135,3,A6120,1,1,1,E08000035,1,9,2,3,1,23
63U0703,420866,434619,3,30/03/2019,1135,3,A6120,1,1,1,E08000035,1,9,2,2,2,19
63U0999,427503,429774,2,30/03/2019,1416,6,U,1,1,1,E08000035,2,9,1,3,1,22
63U0999,427503,429774,2,30/03/2019,1416,6,U,1,1,1,E08000035,1,9,3,3,1,15
63U0999,427503,429774,2,30/03/2019,1416,6,U,1,1,1,E08000035,1,9,3,3,1,16
63U1051,425247,435203,2,30/03/2019,1444,6,U,1,1,1,E08000035,2,4,1,2,1,27
63U1229,421772,435301,2,30/03/2019,1600,6,U,1,1,1,E08000035,2,5,1,3,1,37
63U1271,429158,431642,2,30/03/2019,1615,6,U,1,1,1,E08000035,2,8,2,3,2,24
63U2106,431157,436395,3,30/03/2019,2259,4,B6159,2,4,2,E08000035,1,9,1,3,2,63
63V0466,442620,427049,2,31/03/2019,0930,3,A656,1,1,1,E08000035,2,1,1,3,1,48
63V0490,441119,449123,2,31/03/2019,1002,2,A1(M),1,1,1,E08000035,2,9,1,3,2,46
63V0870,427079,426116,2,31/03/2019,1412,1,M62,1,1,1,E08000035,2,9,1,3,2,22
63V0870,427079,426116,2,31/03/2019,1412,1,M62,1,1,1,E08000035,2,9,2,3,1,22
6420668,430069,433832,1,02/04/2019,1300,3,A1,1,1,1,E08000035,1,9,3,3,1,30
6420862,424190,434807,1,02/04/2019,1340,6,U,1,1,1,E08000035,1,9,3,3,1,13
6420931,431929,433576,2,02/04/2019,1420,6,U,1,1,1,E08000035,2,2,1,3,1,60
6421371,422376,433974,3,02/04/2019,1733,3,A647,1,1,1,E08000035,2,9,1,3,2,28
6421535,429026,437513,2,02/04/2019,1900,6,U,1,1,1,E08000035,1,9,1,3,2,26
6421535,429026,437513,2,02/04/2019,1900,6,U,1,1,1,E08000035,2,9,1,3,1,31
6430559,426465,435683,2,03/04/2019,1045,6,U,1,1,1,E08000035,2,1,1,3,1,29
6431196,428979,429107,6,03/04/2019,1640,6,U,1,1,1,E08000035,2,9,2,3,2,44
6431196,428979,429107,6,03/04/2019,1640,6,U,1,1,1,E08000035,3,9,1,3,1,30
6431196,428979,429107,6,03/04/2019,1640,6,U,1,1,1,E08000035,5,9,1,3,2,19
6431196,428979,429107,6,03/04/2019,1640,6,U,1,1,1,E08000035,5,9,2,3,2,18
6431622,426954,433362,3,05/04/2019,2011,6,U,1,4,1,E08000035,3,9,1,3,1,20
6431622,426954,433362,3,05/04/2019,2011,6,U,1,4,1,E08000035,3,9,2,3,2,19
6431857,432523,427557,2,03/04/2019,2244,3,A61,2,4,1,E08000035,1,9,1,3,1,38
6431857,432523,427557,2,03/04/2019,2244,3,A61,2,4,1,E08000035,2,9,1,3,2,23
6440668,430741,430567,2,04/04/2019,1200,1,M621,1,1,1,E08000035,2,9,2,3,2,37
6441787,439321,426151,2,04/04/2019,2105,6,U,1,7,1,E08000035,2,1,1,3,1,14
6450026,428610,434848,1,15/04/2019,0028,6,U,1,7,1,E08000035,1,9,1,3,1,32
6450727,433150,432309,2,05/04/2019,0900,6,U,1,1,1,E08000035,2,1,1,3,1,33
6450748,433391,434069,2,05/04/2019,1302,6,U,1,1,1,E08000035,2,22,1,2,1,76
6451155,427466,436555,2,05/04/2019,1605,6,U,1,1,1,E08000035,2,1,1,3,1,21
6451187,427127,434793,1,05/04/2019,0000,3,A1,1,1,1,E08000035,1,3,1,3,2,31
6451401,426484,433523,1,05/04/2019,1730,6,U,1,1,1,E08000035,1,11,2,2,2,62
6451833,427834,433379,1,05/04/2019,2105,6,U,1,4,1,E08000035,1,9,2,2,1,18
6460911,433742,426701,2,06/04/2019,1530,6,U,1,1,1,E08000035,1,5,1,3,1,48
6460934,429816,434406,2,05/04/2019,1500,3,A660,1,1,1,E08000035,2,9,1,3,2,42
6461067,424577,435158,2,06/04/2019,1450,6,U,1,1,1,E08000035,2,9,1,3,1,35
6461129,428981,425982,4,06/04/2019,1520,3,A654,1,1,1,E08000035,2,9,2,3,1,7
6461129,428981,425982,4,06/04/2019,1520,3,A654,1,1,1,E08000035,2,9,2,3,1,9
6461245,435794,425983,2,06/04/2019,1609,1,M62,1,1,1,E08000035,1,9,1,3,2,43
6461245,435794,425983,2,06/04/2019,1609,1,M62,1,1,1,E08000035,2,9,1,3,2,20
6461252,432254,434690,2,06/04/2019,1607,6,U,1,1,1,E08000035,2,9,1,3,1,50
6461383,427465,431903,3,06/04/2019,1710,3,A58,1,1,1,E08000035,1,9,1,3,1,27
6470548,430511,425152,2,07/04/2019,1002,6,U,1,1,1,E08000035,1,9,2,3,2,85
6471311,430477,435598,2,06/04/2019,1800,3,A61,1,1,1,E08000035,1,1,1,3,1,16
6480737,430124,433381,1,08/04/2019,1655,6,U,1,1,1,E08000035,1,11,3,3,1,29
6490130,430241,433266,1,09/04/2019,0238,6,U,1,4,1,E08000035,1,8,3,2,2,41
6490667,427209,430643,2,15/02/2019,1445,1,M621,9,1,9,E08000035,2,9,1,3,1,65
6491025,430814,433937,2,09/04/2019,1529,3,A61,1,1,1,E08000035,1,1,1,3,1,13
6491786,424900,437958,2,09/04/2019,0745,6,U,1,1,1,E08000035,1,8,2,3,2,38
64A0440,428799,430468,2,10/04/2019,1015,6,U,1,1,1,E08000035,2,9,1,3,2,32
64A0745,429048,432363,2,10/04/2019,1340,6,U,1,1,1,E08000035,2,1,1,3,1,21
64A0845,431114,435189,3,10/04/2019,1430,6,U,1,1,1,E08000035,1,9,2,3,1,20
64A0845,431114,435189,3,10/04/2019,1430,6,U,1,1,1,E08000035,1,9,2,3,2,17
64A1133,432731,427497,2,10/04/2019,1644,6,U,1,1,1,E08000035,2,1,1,3,1,29
64A1283,431383,424983,3,10/04/2019,1747,1,M1,1,1,1,E08000035,2,9,1,3,2,30
64B0593,424578,435157,1,11/04/2019,1050,3,A657,1,1,1,E08000035,1,11,2,3,2,80
64B0983,424158,428190,2,11/04/2019,1503,3,A62,1,1,1,E08000035,1,9,2,3,2,43
64C0352,424647,428146,1,12/04/2019,0812,6,U,1,1,1,E08000035,1,19,3,2,1,26
64C1093,430631,433738,1,12/04/2019,1450,6,U,1,1,1,E08000035,1,9,3,2,1,8
64C1240,430838,433997,2,12/04/2019,1240,6,U,1,1,1,E08000035,2,1,1,3,1,42
64C1583,427676,435058,2,12/04/2019,1700,6,U,1,1,1,E08000035,2,9,1,3,2,24
64C1909,437565,429652,3,12/04/2019,2045,6,U,1,6,1,E08000035,2,9,1,2,1,39
64C1992,425911,436694,2,12/04/2019,2126,6,U,1,4,1,E08000035,2,4,1,2,1,39
64D0428,443344,439007,2,13/04/2019,0740,1,M1,1,1,1,E08000035,1,9,1,3,1,28
64D0571,433869,434042,2,13/04/2019,0935,4,B6159,1,1,1,E08000035,2,1,1,3,1,31
64D0578,431652,430543,2,15/04/2019,0956,1,M621,1,1,1,E08000035,2,5,1,3,1,36
64D1062,425309,440914,2,13/04/2019,1430,6,U,1,1,1,E08000035,1,1,1,3,1,10
64E0809,445374,431776,4,14/04/2019,1300,2,A1(M),1,1,1,E08000035,2,9,1,3,2,37
64E0809,445374,431776,4,14/04/2019,1300,2,A1(M),1,1,1,E08000035,2,9,2,3,2,37
64E0809,445374,431776,4,14/04/2019,1300,2,A1(M),1,1,1,E08000035,3,9,2,3,2,10
