Accident Fields_Reference Number,Grid Ref: Easting,Grid Ref: Northing,Number of Vehicles,Accident Date,Time (24hr),1st Road Class,1st Road Class & No,Road Surface,Lighting Conditions,Weather Conditions,Local Authority,Vehicle Fields_Reference Number,Vehicle Number,Type of Vehicle,Casualty Fields_Reference Number,Casualty Veh No,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty
53V0202,430006,432655,2,31/03/2018,0249,6,U,2,4,5,E08000035,53V0202,1,9,53V0202,1,1,3,1,56
53V0768,439393,432439,1,01/04/2018,1258,3,A63,2,1,1,E08000035,53V0768,1,5,53V0768,1,1,3,1,59
53V1208,427681,436616,1,31/03/2018,1641,3,A660,1,1,1,E08000035,53V1208,1,1,53V1208,1,3,3,2,80
53V1284,429149,431740,2,31/03/2018,1538,6,U,1,1,8,E08000035,53V1284,1,11,53V1284,1,2,3,2,25
53V1284,429149,431740,2,31/03/2018,1538,6,U,1,1,8,E08000035,53V1284,1,11,53V1284,1,2,3,2,55
5410016,430692,434912,2,01/04/2018,0009,3,A61,2,4,1,E08000035,5410016,1,9,5410016,1,2,3,1,22
5410016,430692,434912,2,01/04/2018,0009,3,A61,2,4,1,E08000035,5410016,1,9,5410016,1,1,3,1,23
5410036,431176,434984,2,01/04/2018,0010,3,A58,1,4,1,E08000035,5410036,1,8,5410036,1,1,3,1,35
5410859,424436,429560,1,01/04/2018,1349,6,U,1,1,1,E08000035,5410859,1,9,5410859,1,3,3,2,5
5420557,432431,443522,2,02/04/2018,1039,3,A61,5,1,2,E08000035,5420557,2,9,5420557,2,1,3,1,50
5420557,432431,443522,2,02/04/2018,1039,3,A61,5,1,2,E08000035,5420557,2,9,5420557,2,2,3,2,48
5421438,433120,429595,1,02/04/2018,1907,1,M1,2,4,5,E08000035,5421438,1,9,5421438,1,1,3,2,43
5431751,431064,430372,1,03/04/2018,2015,6,U,2,4,1,E08000035,5431751,1,9,5431751,1,3,1,2,57
5431875,430940,430771,1,03/04/2018,2110,6,U,1,4,1,E08000035,5431875,1,9,5431875,1,3,3,1,55
5441226,424608,428009,2,04/04/2018,1650,3,A650,2,1,2,E08000035,5441226,2,1,5441226,2,1,3,1,25
5441296,420667,434357,2,04/04/2018,1720,3,A647,2,1,2,E08000035,5441296,2,9,5441296,2,2,3,2,27
5441296,420667,434357,2,04/04/2018,1720,3,A647,2,1,2,E08000035,5441296,2,9,5441296,2,2,3,2,1
5450787,430241,432151,2,05/04/2018,1336,6,U,1,1,1,E08000035,5450787,1,11,5450787,1,1,3,1,59
5450787,430241,432151,2,05/04/2018,1336,6,U,1,1,1,E08000035,5450787,1,11,5450787,1,2,3,1,51
5450787,430241,432151,2,05/04/2018,1336,6,U,1,1,1,E08000035,5450787,1,11,5450787,1,2,3,2,67
5450787,430241,432151,2,05/04/2018,1336,6,U,1,1,1,E08000035,5450787,1,11,5450787,1,2,3,2,51
5450982,424708,433490,2,05/04/2018,1500,3,A6110,1,1,1,E08000035,5450982,1,9,5450982,1,1,3,2,38
5450982,424708,433490,2,05/04/2018,1500,3,A6110,1,1,1,E08000035,5450982,2,9,5450982,2,2,3,2,17
5450982,424708,433490,2,05/04/2018,1500,3,A6110,1,1,1,E08000035,5450982,2,9,5450982,2,1,3,1,18
5451015,432178,434624,2,05/04/2018,1505,6,U,1,1,1,E08000035,5451015,2,1,5451015,2,1,3,1,13
5451082,425147,432501,1,05/04/2018,1548,6,U,1,1,1,E08000035,5451082,1,3,5451082,1,1,2,1,15
5451082,425147,432501,1,05/04/2018,1548,6,U,1,1,1,E08000035,5451082,1,3,5451082,1,2,3,1,15
5451212,441345,445167,1,05/04/2018,1645,2,A1(M),1,1,1,E08000035,5451212,1,21,5451212,1,1,3,1,30
5451354,433685,427669,2,05/04/2018,1720,3,A654,1,1,1,E08000035,5451354,2,9,5451354,2,2,3,2,46
5451354,433685,427669,2,05/04/2018,1720,3,A654,1,1,1,E08000035,5451354,2,9,5451354,2,1,3,1,43
5451680,430988,435794,1,05/04/2018,2005,6,U,1,4,1,E08000035,5451680,1,9,5451680,1,3,3,2,13
5451875,430073,434404,2,05/04/2018,2130,2,A64(M),1,6,1,E08000035,5451875,1,9,5451875,1,1,3,1,39
5460281,428419,432509,2,06/04/2018,0554,3,A62,1,7,1,E08000035,5460281,2,1,5460281,2,1,3,1,59
5460313,427137,426480,1,06/04/2018,0655,6,U,1,1,1,E08000035,5460313,1,3,5460313,1,1,3,1,22
5461093,428472,425646,2,06/04/2018,1505,6,U,1,1,1,E08000035,5461093,2,1,5461093,2,1,3,1,11
5461824,425159,433316,1,06/04/2018,1908,3,A6110,1,1,1,E08000035,5461824,1,11,5461824,1,2,3,1,30
5471493,430438,437756,2,07/04/2018,1732,3,A61,1,1,1,E08000035,5471493,2,1,5471493,2,1,3,2,26
5471829,425937,435567,2,07/04/2018,2020,4,B6157,2,4,1,E08000035,5471829,1,9,5471829,1,1,3,2,40
5480311,431184,434728,1,08/04/2018,0435,6,U,1,4,1,E08000035,5480311,1,9,5480311,1,3,3,2,24
5490001,431896,430385,1,09/04/2018,0000,3,A61,1,4,1,E08000035,5490001,1,9,5490001,1,1,2,1,22
5490001,431896,430385,1,09/04/2018,0000,3,A61,1,4,1,E08000035,5490001,1,9,5490001,1,2,3,2,19
5490001,431896,430385,1,09/04/2018,0000,3,A61,1,4,1,E08000035,5490001,1,9,5490001,1,2,3,1,20
5490001,431896,430385,1,09/04/2018,0000,3,A61,1,4,1,E08000035,5490001,1,9,5490001,1,2,3,2,20
5490832,427536,438584,2,09/04/2018,1234,3,A6120,1,1,1,E08000035,5490832,2,9,5490832,2,1,3,2,88
5491021,421462,442072,2,09/04/2018,1409,6,U,1,1,1,E08000035,5491021,1,9,5491021,1,1,3,1,17
5491448,429375,431376,2,09/04/2018,1700,6,U,1,1,1,E08000035,5491448,2,9,5491448,2,1,3,2,28
5491448,429375,431376,2,09/04/2018,1700,6,U,1,1,1,E08000035,5491448,2,9,5491448,2,2,3,2,58
54A0960,424367,445376,3,10/04/2018,1443,3,A658,1,1,1,E08000035,54A0960,2,9,54A0960,2,2,3,2,32
54A0960,424367,445376,3,10/04/2018,1443,3,A658,1,1,1,E08000035,54A0960,2,9,54A0960,2,2,3,2,3
54A1454,426715,428117,1,10/04/2018,1800,6,U,2,1,1,E08000035,54A1454,1,8,54A1454,1,2,3,2,20
54A1489,430323,434742,2,10/04/2018,1700,6,U,2,1,1,E08000035,54A1489,2,9,54A1489,2,1,3,2,21
54A1629,425410,440390,2,09/04/2018,1540,6,U,1,1,1,E08000035,54A1629,2,9,54A1629,2,1,3,2,60
54B0796,430763,438805,2,11/04/2018,1345,6,U,1,1,1,E08000035,54B0796,2,9,54B0796,2,1,3,2,69
54B0796,430763,438805,2,11/04/2018,1345,6,U,1,1,1,E08000035,54B0796,2,9,54B0796,2,2,3,1,67
54B0816,428768,434637,2,09/04/2018,1655,6,U,1,1,1,E08000035,54B0816,2,1,54B0816,2,1,3,1,29
54B1375,429558,431570,2,11/04/2018,1824,6,U,1,1,1,E08000035,54B1375,1,9,54B1375,1,3,3,1,5
54B1785,435098,425906,3,11/04/2018,2140,1,M62,2,6,1,E08000035,54B1785,1,19,54B1785,1,1,3,2,29
54B1785,435098,425906,3,11/04/2018,2140,1,M62,2,6,1,E08000035,54B1785,3,9,54B1785,3,1,3,2,55
54B1837,434140,434244,2,11/04/2018,2205,3,A64,1,4,1,E08000035,54B1837,1,9,54B1837,1,1,3,1,21
54C0484,429189,431919,2,12/04/2018,1036,6,U,1,1,1,E08000035,54C0484,2,9,54C0484,2,1,3,2,45
54C0697,427270,433815,1,12/04/2018,1245,6,U,1,1,1,E08000035,54C0697,1,9,54C0697,1,3,3,1,24
54C1066,427196,431817,2,12/04/2018,1315,3,A58,2,1,2,E08000035,54C1066,1,11,54C1066,1,2,3,2,80
54C1177,431442,432718,2,12/04/2018,1650,3,A61,2,1,1,E08000035,54C1177,2,9,54C1177,2,1,3,2,46
54D0521,422005,433002,1,13/04/2018,1030,6,U,2,1,1,E08000035,54D0521,1,9,54D0521,1,3,2,1,60
54D0831,430866,434168,2,12/04/2018,0900,6,U,1,1,1,E08000035,54D0831,1,1,54D0831,1,1,3,1,18
54D0986,428882,435524,2,13/04/2018,1450,6,U,1,1,1,E08000035,54D0986,1,1,54D0986,1,1,3,1,28
54D2147,442269,449063,1,13/04/2018,2326,4,B1224,1,5,1,E08000035,54D2147,1,5,54D2147,1,1,3,1,51
54D2147,442269,449063,1,13/04/2018,2326,4,B1224,1,5,1,E08000035,54D2147,1,5,54D2147,1,2,2,2,45
54E0735,443425,435624,2,14/04/2018,1132,2,A1(M),1,1,1,E08000035,54E0735,1,9,54E0735,1,1,3,2,26
54E0735,443425,435624,2,14/04/2018,1132,2,A1(M),1,1,1,E08000035,54E0735,1,9,54E0735,1,2,2,1,25
54E0735,443425,435624,2,14/04/2018,1132,2,A1(M),1,1,1,E08000035,54E0735,2,19,54E0735,2,1,3,1,53
54E0735,443425,435624,2,14/04/2018,1132,2,A1(M),1,1,1,E08000035,54E0735,2,19,54E0735,2,2,3,2,23
54E0735,443425,435624,2,14/04/2018,1132,2,A1(M),1,1,1,E08000035,54E0735,2,19,54E0735,2,2,3,1,67
54E1406,429416,433949,2,14/04/2018,1700,2,A58(M),1,1,1,E08000035,54E1406,2,3,54E1406,2,1,3,1,26
54E1996,426345,428458,2,14/04/2018,2300,6,U,1,4,1,E08000035,54E1996,1,9,54E1996,1,1,3,1,36
54E1996,426345,428458,2,14/04/2018,2300,6,U,1,4,1,E08000035,54E1996,2,9,54E1996,2,1,3,1,34
54F0702,435035,437653,3,15/04/2018,1113,6,U,1,1,1,E08000035,54F0702,1,3,54F0702,1,1,2,1,21
54F0741,426277,427876,2,15/04/2018,1130,6,U,1,1,1,E08000035,54F0741,2,9,54F0741,2,1,3,1,24
54F0854,428097,434686,2,15/04/2018,1257,6,U,1,1,1,E08000035,54F0854,2,9,54F0854,2,1,3,1,28
54G0998,429382,433769,2,16/04/2018,1415,2,A58(M),1,1,1,E08000035,54G0998,1,9,54G0998,1,1,3,2,50
54G0998,429382,433769,2,16/04/2018,1415,2,A58(M),1,1,1,E08000035,54G0998,2,9,54G0998,2,1,3,2,55
54G0998,429382,433769,2,16/04/2018,1415,2,A58(M),1,1,1,E08000035,54G0998,2,9,54G0998,2,2,3,1,24
54G1360,432459,433872,2,16/04/2018,1706,5,C,1,1,1,E08000035,54G1360,1,9,54G1360,1,1,3,1,48
54G1709,420637,441130,2,16/04/2018,1940,6,U,1,1,1,E08000035,54G1709,1,1,54G1709,1,1,3,1,33
54H1326,426405,428496,1,17/04/2018,1631,3,A643,1,1,1,E08000035,54H1326,1,9,54H1326,1,3,3,2,26
54H1469,430614,433698,1,17/04/2018,1725,6,U,1,1,1,E08000035,54H1469,1,11,54H1469,1,2,2,1,83
54H1553,424071,434508,2,17/04/2018,1904,6,U,1,1,1,E08000035,54H1553,1,9,54H1553,1,1,3,2,20
54H1553,424071,434508,2,17/04/2018,1904,6,U,1,1,1,E08000035,54H1553,1,9,54H1553,1,2,3,2,20
54H1553,424071,434508,2,17/04/2018,1904,6,U,1,1,1,E08000035,54H1553,2,9,54H1553,2,1,3,2,36
54I0100,424308,435336,1,18/04/2018,0140,3,A657,1,7,1,E08000035,54I0100,1,9,54I0100,1,3,3,1,47
54I1128,429654,431554,1,06/04/2018,1535,6,U,1,1,1,E08000035,54I1128,1,11,54I1128,1,2,3,2,31
54I1128,429654,431554,1,06/04/2018,1535,6,U,1,1,1,E08000035,54I1128,1,11,54I1128,1,2,3,2,31
54I1398,436860,435605,2,18/04/2018,1726,6,U,1,1,1,E08000035,54I1398,2,2,54I1398,2,1,2,1,16
54I1850,434721,435335,1,18/04/2018,2054,6,U,1,4,1,E08000035,54I1850,1,9,54I1850,1,3,2,1,54
54J0156,429506,434867,1,19/04/2018,1445,3,A650,1,1,1,E08000035,54J0156,1,9,54J0156,1,3,3,1,26
54J0401,424183,438894,2,19/04/2018,0847,6,U,1,1,1,E08000035,54J0401,1,9,54J0401,1,1,3,2,27
54J0401,424183,438894,2,19/04/2018,0847,6,U,1,1,1,E08000035,54J0401,1,9,54J0401,1,2,3,2,6
54J0401,424183,438894,2,19/04/2018,0847,6,U,1,1,1,E08000035,54J0401,1,9,54J0401,1,2,3,2,60
54J0596,432242,426277,2,19/04/2018,1054,1,M1,1,1,1,E08000035,54J0596,2,9,54J0596,2,1,3,2,61
54J1361,428963,433920,2,19/04/2018,1715,6,U,1,1,1,E08000035,54J1361,1,9,54J1361,1,2,2,2,22
54J1361,428963,433920,2,19/04/2018,1715,6,U,1,1,1,E08000035,54J1361,2,9,54J1361,2,1,2,2,20
54J1373,428718,435614,2,19/04/2018,1715,6,U,1,1,1,E08000035,54J1373,2,1,54J1373,2,1,3,2,22
54J1643,430758,439222,2,22/04/2018,1857,3,A61,1,1,1,E08000035,54J1643,2,1,54J1643,2,1,3,2,53
54J1682,427714,439198,2,19/04/2018,1850,6,U,1,1,1,E08000035,54J1682,2,1,54J1682,2,1,3,1,13
54J2056,429166,434830,7,19/04/2018,2135,6,U,1,4,1,E08000035,54J2056,1,9,54J2056,1,1,3,1,32
54K0301,425321,435950,2,20/04/2018,0650,6,U,1,1,1,E08000035,54K0301,1,1,54K0301,1,1,3,1,48
54K0782,442952,442979,2,20/04/2018,1250,6,U,1,1,1,E08000035,54K0782,2,1,54K0782,2,1,3,1,36
54K0874,428942,429847,2,20/04/2018,1335,3,A653,1,1,1,E08000035,54K0874,2,9,54K0874,2,1,3,2,40
54K0961,429961,428112,2,20/04/2018,1410,6,U,1,1,1,E08000035,54K0961,2,22,54K0961,2,1,3,1,60
54K1210,430417,432786,1,20/04/2018,1609,3,A61,1,1,1,E08000035,54K1210,1,9,54K1210,1,3,2,1,18
54K1258,435870,425928,2,20/04/2018,1630,1,M62,1,1,1,E08000035,54K1258,1,9,54K1258,1,1,3,2,32
54K1258,435870,425928,2,20/04/2018,1630,1,M62,1,1,1,E08000035,54K1258,2,9,54K1258,2,2,3,1,54
54K1295,435072,435108,1,20/04/2018,1640,6,U,1,1,1,E08000035,54K1295,1,3,54K1295,1,3,3,2,6
54K1295,435072,435108,1,20/04/2018,1640,6,U,1,1,1,E08000035,54K1295,1,3,54K1295,1,1,2,1,17
54K1408,440663,434458,3,20/04/2018,1723,1,M1,1,1,1,E08000035,54K1408,1,21,54K1408,1,1,3,1,56
54K1408,440663,434458,3,20/04/2018,1723,1,M1,1,1,1,E08000035,54K1408,2,9,54K1408,2,1,2,1,49
54K1408,440663,434458,3,20/04/2018,1723,1,M1,1,1,1,E08000035,54K1408,3,9,54K1408,3,2,3,2,17
54K1408,440663,434458,3,20/04/2018,1723,1,M1,1,1,1,E08000035,54K1408,3,9,54K1408,3,1,2,2,50
54K1664,421494,434569,1,20/04/2018,1900,6,U,1,1,1,E08000035,54K1664,1,9,54K1664,1,3,2,2,11
54L0634,431251,445733,2,21/04/2018,1006,3,A61,1,1,1,E08000035,54L0634,2,9,54L0634,2,1,3,1,68
54L1520,426780,426683,1,21/04/2018,1736,3,A650,1,1,1,E08000035,54L1520,1,9,54L1520,1,3,2,1,7
54L2179,442929,442967,1,21/04/2018,2155,6,U,1,4,1,E08000035,54L2179,1,9,54L2179,1,2,3,1,29
54L2179,442929,442967,1,21/04/2018,2155,6,U,1,4,1,E08000035,54L2179,1,9,54L2179,1,2,3,1,31
54M1038,437793,432980,2,22/04/2018,1435,3,A63,1,1,1,E08000035,54M1038,2,9,54M1038,2,1,3,2,54
54N1277,430659,433453,1,23/04/2018,1340,6,U,1,1,1,E08000035,54N1277,1,11,54N1277,1,2,3,1,63
54N1277,430659,433453,1,23/04/2018,1340,6,U,1,1,1,E08000035,54N1277,1,11,54N1277,1,2,3,2,65
54N2088,428571,431494,2,23/04/2018,2205,3,A643,1,4,1,E08000035,54N2088,2,9,54N2088,2,2,3,2,37
54O0121,425954,437527,1,24/04/2018,0239,6,U,1,4,1,E08000035,54O0121,1,9,54O0121,1,2,3,1,19
54O0663,430821,433408,2,24/04/2018,1105,3,A61,1,1,1,E08000035,54O0663,2,9,54O0663,2,1,3,1,19
54O1067,426052,432994,3,24/04/2018,1809,6,U,2,1,2,E08000035,54O1067,1,9,54O1067,1,2,3,1,1
54O1067,426052,432994,3,24/04/2018,1809,6,U,2,1,2,E08000035,54O1067,1,9,54O1067,1,2,3,1,29
54O1067,426052,432994,3,24/04/2018,1809,6,U,2,1,2,E08000035,54O1067,1,9,54O1067,1,1,3,2,27
54O1409,429917,437012,2,23/04/2018,1537,6,U,1,1,1,E08000035,54O1409,2,1,54O1409,2,1,3,1,68
54O1524,427600,436796,2,24/04/2018,1825,3,A660,2,6,2,E08000035,54O1524,1,1,54O1524,1,1,3,1,36
54P0421,435884,436343,2,24/04/2018,1830,3,A6120,1,1,1,E08000035,54P0421,2,9,54P0421,2,1,3,1,32
54P0556,441346,431951,2,25/04/2018,1040,3,A63,1,1,1,E08000035,54P0556,1,1,54P0556,1,1,3,2,57
54P1044,425167,435072,1,25/04/2018,1516,6,U,1,1,1,E08000035,54P1044,1,9,54P1044,1,1,3,1,44
54P1044,425167,435072,1,25/04/2018,1516,6,U,1,1,1,E08000035,54P1044,1,9,54P1044,1,2,3,2,61
54P1044,425167,435072,1,25/04/2018,1516,6,U,1,1,1,E08000035,54P1044,1,9,54P1044,1,2,3,2,21
54P1295,425380,440749,2,25/04/2018,1650,6,U,1,1,1,E08000035,54P1295,2,1,54P1295,2,1,3,1,20
54P1499,439653,446793,2,25/04/2018,1830,3,A58,1,1,1,E08000035,54P1499,1,9,54P1499,1,1,3,2,62
54P1499,439653,446793,2,25/04/2018,1830,3,A58,1,1,1,E08000035,54P1499,2,9,54P1499,2,1,3,2,64
54P1499,439653,446793,2,25/04/2018,1830,3,A58,1,1,1,E08000035,54P1499,2,9,54P1499,2,2,3,2,36
54Q0363,427070,429434,3,26/04/2018,0745,3,A643,1,1,1,E08000035,54Q0363,3,9,54Q0363,3,1,3,1,28
54Q0363,427070,429434,3,26/04/2018,0745,3,A643,1,1,1,E08000035,54Q0363,3,9,54Q0363,3,2,3,1,18
54Q0517,429177,438566,2,26/04/2018,0920,3,A6120,1,1,1,E08000035,54Q0517,2,9,54Q0517,2,1,3,2,36
54Q0589,430094,433781,1,26/04/2018,1310,6,U,1,1,1,E08000035,54Q0589,1,11,54Q0589,1,2,3,2,75
54Q0801,434747,433488,2,26/04/2018,0715,6,U,1,1,1,E08000035,54Q0801,2,1,54Q0801,2,1,2,1,18
54Q0982,425159,434368,2,26/04/2018,1438,6,U,1,1,1,E08000035,54Q0982,2,1,54Q0982,2,1,3,1,34
54Q1152,424794,427415,3,26/04/2018,1558,1,M62,1,1,1,E08000035,54Q1152,2,9,54Q1152,2,1,3,2,22
54Q1152,424794,427415,3,26/04/2018,1558,1,M62,1,1,1,E08000035,54Q1152,2,9,54Q1152,2,2,3,1,34
54Q1152,424794,427415,3,26/04/2018,1558,1,M62,1,1,1,E08000035,54Q1152,2,9,54Q1152,2,2,3,1,30
54Q1152,424794,427415,3,26/04/2018,1558,1,M62,1,1,1,E08000035,54Q1152,3,9,54Q1152,3,1,3,1,45
54Q2014,442752,429469,1,26/04/2018,2340,6,U,1,6,1,E08000035,54Q2014,1,9,54Q2014,1,3,3,1,52
54Q2038,419832,441189,2,26/04/2018,2345,3,A65,1,4,1,E08000035,54Q2038,1,9,54Q2038,1,1,3,1,21
54Q2038,419832,441189,2,26/04/2018,2345,3,A65,1,4,1,E08000035,54Q2038,2,8,54Q2038,2,1,3,1,50
54R0290,427531,426319,2,27/04/2018,0746,1,M62,2,1,2,E08000035,54R0290,2,9,54R0290,2,1,3,2,28
54R0541,428439,433338,1,27/04/2018,1000,3,A647,2,1,2,E08000035,54R0541,1,9,54R0541,1,1,3,1,47
54R0620,427789,436380,2,27/04/2018,1118,3,A660,2,1,2,E08000035,54R0620,2,9,54R0620,2,1,3,1,33
54R0675,431507,432727,2,27/04/2018,1000,6,U,2,1,2,E08000035,54R0675,2,1,54R0675,2,1,3,1,45
54R0796,430647,433457,2,27/04/2018,1252,6,U,1,1,1,E08000035,54R0796,2,1,54R0796,2,1,2,1,19
54R1031,420714,440967,2,27/04/2018,1445,6,U,2,1,2,E08000035,54R1031,2,1,54R1031,2,1,3,2,33
54R1093,435348,425898,3,27/04/2018,1525,1,M62,2,1,2,E08000035,54R1093,1,19,54R1093,1,1,3,1,41
54R1093,435348,425898,3,27/04/2018,1525,1,M62,2,1,2,E08000035,54R1093,2,9,54R1093,2,1,3,1,30
54R1325,428744,430857,1,27/04/2018,1721,6,U,2,1,2,E08000035,54R1325,1,9,54R1325,1,3,2,2,32
54R1402,430852,434109,2,27/04/2018,1800,3,A61,1,1,1,E08000035,54R1402,2,9,54R1402,2,1,3,1,36
54R1402,430852,434109,2,27/04/2018,1800,3,A61,1,1,1,E08000035,54R1402,2,9,54R1402,2,2,3,2,21
54R1517,430721,439237,2,27/04/2018,1905,3,A61,2,1,2,E08000035,54R1517,1,3,54R1517,1,1,3,1,23
54R1775,426199,427519,2,24/04/2018,0655,6,U,1,1,1,E08000035,54R1775,2,2,54R1775,2,1,3,1,46
54S1979,432600,426847,1,28/04/2018,2235,3,A61,1,4,1,E08000035,54S1979,1,9,54S1979,1,3,2,1,17
54T1252,433811,434054,2,29/04/2018,1610,3,A64,1,1,1,E08000035,54T1252,1,5,54T1252,1,1,2,1,51
54T1480,429019,430897,1,29/04/2018,1756,6,U,1,1,1,E08000035,54T1480,1,9,54T1480,1,3,2,1,6
54U1045,431016,428491,2,30/04/2018,1515,6,U,1,1,1,E08000035,54U1045,2,5,54U1045,2,1,2,1,57
54U1120,433186,433935,1,30/04/2018,1540,6,U,1,1,1,E08000035,54U1120,1,9,54U1120,1,3,3,1,4
54U1512,436678,436624,2,30/04/2018,1820,6,U,1,1,1,E08000035,54U1512,2,1,54U1512,2,1,3,1,27
54U1690,430779,438668,1,30/04/2018,0942,6,U,1,1,1,E08000035,54U1690,1,9,54U1690,1,3,3,1,40
54U1699,436729,433816,2,30/04/2018,0830,6,U,1,1,1,E08000035,54U1699,2,1,54U1699,2,1,2,1,39
5510256,425709,432933,2,01/05/2018,0708,6,U,1,1,1,E08000035,5510256,1,9,5510256,1,1,3,1,24
5511148,423210,434203,1,01/05/2018,1550,4,B6157,1,1,1,E08000035,5511148,1,9,5511148,1,3,2,1,12
5511218,430794,433456,2,01/05/2018,1629,6,U,1,1,1,E08000035,5511218,2,2,5511218,2,1,3,2,52
5511277,432347,433705,2,01/05/2018,1645,3,A64,1,1,1,E08000035,5511277,1,1,5511277,1,1,3,1,23
5520837,440141,426164,2,02/05/2018,1327,6,U,1,1,1,E08000035,5520837,2,9,5520837,2,1,3,1,29
5520989,436473,434061,4,02/05/2018,1439,3,A6120,1,1,1,E08000035,5520989,3,9,5520989,3,1,3,1,43
5520989,436473,434061,4,02/05/2018,1439,3,A6120,1,1,1,E08000035,5520989,4,9,5520989,4,1,3,1,42
5521141,436589,436642,1,02/05/2018,1530,6,U,1,1,1,E08000035,5521141,1,9,5521141,1,3,3,2,10
5521240,429389,426425,3,02/05/2018,1626,1,M62,1,1,1,E08000035,5521240,2,9,5521240,2,1,3,2,53
5521410,430348,432101,1,02/05/2018,1730,6,U,1,1,1,E08000035,5521410,1,9,5521410,1,3,3,1,30
5530252,420690,444983,2,03/05/2018,0731,3,A660,1,1,1,E08000035,5530252,2,1,5530252,2,1,2,1,50
5530263,421631,433679,2,03/05/2018,0735,6,U,1,1,1,E08000035,5530263,2,1,5530263,2,1,3,1,43
5530558,429933,427363,2,03/05/2018,1100,6,U,1,1,1,E08000035,5530558,1,11,5530558,1,2,2,2,77
5530752,432129,429313,2,03/05/2018,1235,1,M621,1,1,1,E08000035,5530752,1,3,5530752,1,1,3,1,18
5531085,425409,440391,2,03/05/2018,1415,6,U,1,1,1,E08000035,5531085,2,1,5531085,2,1,2,1,48
5531160,426901,439315,1,30/04/2018,0915,3,A660,1,1,1,E08000035,5531160,1,9,5531160,1,3,3,2,62
5531298,427314,425926,2,03/05/2018,1600,6,U,1,1,1,E08000035,5531298,2,1,5531298,2,1,2,1,14
5540548,433651,434305,1,04/05/2018,1036,6,U,1,1,1,E08000035,5540548,1,9,5540548,1,3,3,1,12
5541452,427686,444755,3,04/05/2018,1737,6,U,1,1,1,E08000035,5541452,1,9,5541452,1,1,3,1,26
5541517,426241,426884,2,04/05/2018,1725,6,U,1,1,1,E08000035,5541517,2,9,5541517,2,1,3,2,28
5551010,428097,434763,2,05/05/2018,1300,6,U,1,1,1,E08000035,5551010,1,1,5551010,1,1,2,1,39
5551704,430064,433790,1,05/05/2018,1805,6,U,1,1,1,E08000035,5551704,1,9,5551704,1,3,3,2,13
5570613,421345,440482,3,07/05/2018,1024,6,U,1,1,1,E08000035,5570613,2,9,5570613,2,1,3,1,42
5570679,434003,427705,2,07/05/2018,1100,6,U,1,1,1,E08000035,5570679,2,9,5570679,2,1,3,2,64
5570807,425906,436261,2,07/05/2018,1200,6,U,1,1,1,E08000035,5570807,1,9,5570807,1,1,3,2,20
5570807,425906,436261,2,07/05/2018,1200,6,U,1,1,1,E08000035,5570807,2,11,5570807,2,2,3,2,73
5571146,430098,431479,2,07/05/2018,1500,6,U,1,1,1,E08000035,5571146,2,3,5571146,2,1,3,1,44
5571789,431522,435146,2,07/05/2018,1915,3,A58,1,1,1,E08000035,5571789,1,9,5571789,1,1,3,1,35
5571789,431522,435146,2,07/05/2018,1915,3,A58,1,1,1,E08000035,5571789,1,9,5571789,1,2,3,2,65
5571789,431522,435146,2,07/05/2018,1915,3,A58,1,1,1,E08000035,5571789,1,9,5571789,1,2,3,2,32
5571789,431522,435146,2,07/05/2018,1915,3,A58,1,1,1,E08000035,5571789,2,9,5571789,2,1,3,1,62
5572161,430313,431178,2,07/05/2018,2135,6,U,1,4,1,E08000035,5572161,2,9,5572161,2,2,3,2,46
5580349,435461,433396,1,08/05/2018,0810,6,U,1,1,1,E08000035,5580349,1,9,5580349,1,3,3,1,14
5580644,439441,430735,2,08/05/2018,1100,6,U,1,1,1,E08000035,5580644,2,9,5580644,2,1,3,2,49
5580644,439441,430735,2,08/05/2018,1100,6,U,1,1,1,E08000035,5580644,2,9,5580644,2,2,3,1,44
5580644,439441,430735,2,08/05/2018,1100,6,U,1,1,1,E08000035,5580644,2,9,5580644,2,2,3,1,16
5581159,429858,433791,2,08/05/2018,1735,6,U,1,1,1,E08000035,5581159,2,11,5581159,2,2,3,2,20
5581410,428864,440052,2,08/05/2018,1640,6,U,1,1,1,E08000035,5581410,2,1,5581410,2,1,3,1,52
5581932,428633,435476,2,05/05/2018,1833,6,U,1,1,1,E08000035,5581932,1,1,5581932,1,1,3,1,48
5591416,435895,436408,2,09/05/2018,1730,6,U,1,1,1,E08000035,5591416,2,3,5591416,2,1,3,1,31
5591481,431006,439233,2,09/05/2018,1630,6,U,1,1,1,E08000035,5591481,2,3,5591481,2,1,3,1,17
55A0266,431310,431728,2,09/05/2018,1715,3,A639,1,1,1,E08000035,55A0266,2,1,55A0266,2,1,3,1,40
55A0299,425106,436047,2,10/05/2018,0759,4,B6157,1,1,1,E08000035,55A0299,1,2,55A0299,1,1,2,1,57
55A0321,428376,435451,3,10/05/2018,0814,6,U,1,1,1,E08000035,55A0321,2,3,55A0321,2,1,3,1,32
55A0349,445195,446988,2,10/05/2018,0835,6,U,1,1,1,E08000035,55A0349,1,19,55A0349,1,1,3,1,60
55A0349,445195,446988,2,10/05/2018,0835,6,U,1,1,1,E08000035,55A0349,2,9,55A0349,2,1,3,2,47
